,HDSI_author,year,category_for
28,Arya Mazumdar,2018,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0804 Data Format', '09 Engineering', '10 Technology', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics', '1005 Communications Technologies']"
29,Arya Mazumdar,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0804 Data Format', '09 Engineering', '10 Technology', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '1005 Communications Technologies']"
30,Arya Mazumdar,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0804 Data Format', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics']"
31,Arya Mazumdar,2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '0102 Applied Mathematics', '0104 Statistics', '09 Engineering', '10 Technology', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0101 Pure Mathematics', '1005 Communications Technologies']"
32,Babak Salimi,2016,"['08 Information and Computing Sciences', '0806 Information Systems']"
33,Babak Salimi,2017,"['01 Mathematical Sciences', '0104 Statistics', '0807 Library and Information Studies', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
34,Babak Salimi,2018,"['08 Information and Computing Sciences', '0806 Information Systems']"
35,Babak Salimi,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '0806 Information Systems', '08 Information and Computing Sciences']"
36,Babak Salimi,2020,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
37,Babak Salimi,2021,"['0801 Artificial Intelligence and Image Processing', '0807 Library and Information Studies', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
38,Barna Saha,2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0806 Information Systems', '20 Language, Communication and Culture', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '2004 Linguistics']"
39,Barna Saha,2017,"['0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '20 Language, Communication and Culture', '2004 Linguistics']"
40,Barna Saha,2018,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics']"
41,Barna Saha,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics']"
42,Barna Saha,2020,"['0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
43,Barna Saha,2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
44,Benjamin Smarr,2016,"['17 Psychology and Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '1702 Cognitive Sciences', '1114 Paediatrics and Reproductive Medicine', '0806 Information Systems', '1112 Oncology and Carcinogenesis', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
45,Benjamin Smarr,2017,"['17 Psychology and Cognitive Sciences', '0606 Physiology', '1701 Psychology', '06 Biological Sciences', '1114 Paediatrics and Reproductive Medicine', '11 Medical and Health Sciences']"
46,Benjamin Smarr,2018,"['17 Psychology and Cognitive Sciences', '0606 Physiology', '1701 Psychology', '06 Biological Sciences', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
47,Benjamin Smarr,2019,"['17 Psychology and Cognitive Sciences', '0602 Ecology', '1109 Neurosciences', '1701 Psychology', '06 Biological Sciences', '1117 Public Health and Health Services', '11 Medical and Health Sciences']"
48,Benjamin Smarr,2020,"['1117 Public Health and Health Services', '11 Medical and Health Sciences', '1114 Paediatrics and Reproductive Medicine']"
49,Benjamin Smarr,2021,"['17 Psychology and Cognitive Sciences', '16 Studies in Human Society', '1701 Psychology', '1117 Public Health and Health Services', '1114 Paediatrics and Reproductive Medicine', '1699 Other Studies In Human Society', '11 Medical and Health Sciences']"
50,Berk Ustun,2016,"['17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1701 Psychology', '1199 Other Medical and Health Sciences', '0104 Statistics', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
51,Berk Ustun,2017,"['01 Mathematical Sciences', '1117 Public Health and Health Services', '11 Medical and Health Sciences', '0102 Applied Mathematics']"
