,HDSI_author,year,category_for
129,Lucila Ohno-Machado,2018,"['0801 Artificial Intelligence and Image Processing', '16 Studies in Human Society', '1402 Applied Economics', '1605 Policy and Administration', '1109 Neurosciences', '09 Engineering', '06 Biological Sciences', '0804 Data Format', '0807 Library and Information Studies', '1117 Public Health and Health Services', '1114 Paediatrics and Reproductive Medicine', '0806 Information Systems', '14 Economics', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
130,Lucila Ohno-Machado,2019,"['0801 Artificial Intelligence and Image Processing', '09 Engineering', '0804 Data Format', '1113 Ophthalmology and Optometry', '08 Information and Computing Sciences', '1117 Public Health and Health Services', '0806 Information Systems', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
131,Lucila Ohno-Machado,2020,"['0801 Artificial Intelligence and Image Processing', '0304 Medicinal and Biomolecular Chemistry', '03 Chemical Sciences', '0899 Other Information and Computing Sciences', '0604 Genetics', '06 Biological Sciences', '0804 Data Format', '0601 Biochemistry and Cell Biology', '1117 Public Health and Health Services', '1112 Oncology and Carcinogenesis', '0806 Information Systems', '1102 Cardiorespiratory Medicine and Haematology', '1101 Medical Biochemistry and Metabolomics', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
132,Lucila Ohno-Machado,2021,"['0801 Artificial Intelligence and Image Processing', '16 Studies in Human Society', '01 Mathematical Sciences', '1109 Neurosciences', '0604 Genetics', '06 Biological Sciences', '0104 Statistics', '1113 Ophthalmology and Optometry', '08 Information and Computing Sciences', '1117 Public Health and Health Services', '1114 Paediatrics and Reproductive Medicine', '0806 Information Systems', '1102 Cardiorespiratory Medicine and Haematology', '1699 Other Studies In Human Society', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
133,Margaret (Molly) Roberts,2016,"['1606 Political Science', '01 Mathematical Sciences', '16 Studies in Human Society', '0104 Statistics']"
134,Margaret (Molly) Roberts,2017,"['16 Studies in Human Society', '1605 Policy and Administration', '1402 Applied Economics', '1608 Sociology', '14 Economics', '1606 Political Science']"
135,Margaret (Molly) Roberts,2018,"['1606 Political Science', '16 Studies in Human Society']"
136,Margaret (Molly) Roberts,2020,"['1606 Political Science', '16 Studies in Human Society', '1402 Applied Economics', '14 Economics']"
137,Margaret (Molly) Roberts,2021,"['0801 Artificial Intelligence and Image Processing', '16 Studies in Human Society', '1608 Sociology', '08 Information and Computing Sciences']"
138,Michael Holst,2016,"['01 Mathematical Sciences', '0201 Astronomical and Space Sciences', '0101 Pure Mathematics', '02 Physical Sciences']"
139,Michael Holst,2017,"['01 Mathematical Sciences', '03 Chemical Sciences', '02 Physical Sciences', '0803 Computer Software', '06 Biological Sciences', '0307 Theoretical and Computational Chemistry', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
140,Michael Holst,2018,"['0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '02 Physical Sciences', '06 Biological Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
141,Michael Holst,2019,"['0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '02 Physical Sciences', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '0806 Information Systems', '08 Information and Computing Sciences', '0299 Other Physical Sciences']"
142,Michael Holst,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '03 Chemical Sciences', '0102 Applied Mathematics', '02 Physical Sciences', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
143,Michael Holst,2021,"['01 Mathematical Sciences', '0101 Pure Mathematics']"
144,Michael Pazzani,2016,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
145,Michael Pazzani,2017,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
146,Michael Pazzani,2019,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
147,Mikhail Belkin,2018,"['01 Mathematical Sciences', '0101 Pure Mathematics', '0104 Statistics']"
148,Mikhail Belkin,2019,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
149,Mikhail Belkin,2020,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '01 Mathematical Sciences', '0104 Statistics']"
150,Mikhail Belkin,2021,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
151,Mikio Aoi,2016,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
152,Mikio Aoi,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '17 Psychology and Cognitive Sciences', '1109 Neurosciences', '1701 Psychology', '0104 Statistics', '1702 Cognitive Sciences', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
153,Mikio Aoi,2018,"['17 Psychology and Cognitive Sciences', '1702 Cognitive Sciences', '1701 Psychology']"
154,Mikio Aoi,2020,"['17 Psychology and Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '1701 Psychology', '1702 Cognitive Sciences', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
155,R. Stuart Geiger,2016,"['0807 Library and Information Studies', '0806 Information Systems', '20 Language, Communication and Culture', '08 Information and Computing Sciences', '2001 Communication and Media Studies']"
156,R. Stuart Geiger,2017,"['17 Psychology and Cognitive Sciences', '16 Studies in Human Society', '1701 Psychology', '1608 Sociology', '20 Language, Communication and Culture', '2002 Cultural Studies']"
157,R. Stuart Geiger,2018,"['16 Studies in Human Society', '0803 Computer Software', '1608 Sociology', '08 Information and Computing Sciences']"
158,R. Stuart Geiger,2019,"['0801 Artificial Intelligence and Image Processing', '16 Studies in Human Society', '17 Psychology and Cognitive Sciences', '1701 Psychology', '1608 Sociology', '08 Information and Computing Sciences']"
159,R. Stuart Geiger,2020,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
160,R. Stuart Geiger,2021,"['0801 Artificial Intelligence and Image Processing', '16 Studies in Human Society', '0803 Computer Software', '1608 Sociology', '08 Information and Computing Sciences']"
161,Rajesh Gupta,2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '09 Engineering', '0803 Computer Software', '0104 Statistics', '12 Built Environment and Design', '0910 Manufacturing Engineering', '08 Information and Computing Sciences', '1202 Building']"
162,Rajesh Gupta,2017,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '1701 Psychology', '0102 Applied Mathematics', '09 Engineering', '0104 Statistics', '0803 Computer Software', '10 Technology', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '1005 Communications Technologies']"
163,Rajesh Gupta,2018,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0805 Distributed Computing', '09 Engineering', '0803 Computer Software', '0104 Statistics', '1006 Computer Hardware', '10 Technology', '0806 Information Systems', '14 Economics', '08 Information and Computing Sciences', '1005 Communications Technologies']"
164,Rajesh Gupta,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0803 Computer Software', '09 Engineering', '1006 Computer Hardware', '10 Technology', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '1005 Communications Technologies']"
165,Rajesh Gupta,2020,"['0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '09 Engineering', '0803 Computer Software', '12 Built Environment and Design', '10 Technology', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '1005 Communications Technologies', '1202 Building']"
166,Rajesh Gupta,2021,"['16 Studies in Human Society', '0805 Distributed Computing', '05 Environmental Sciences', '1006 Computer Hardware', '0803 Computer Software', '10 Technology', '0806 Information Systems', '20 Language, Communication and Culture', '08 Information and Computing Sciences', '2002 Cultural Studies']"
167,Rayan Saab,2016,"['0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '09 Engineering', '10 Technology', '1102 Cardiorespiratory Medicine and Haematology', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1005 Communications Technologies']"
168,Rayan Saab,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics']"
169,Rayan Saab,2018,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0101 Pure Mathematics', '1102 Cardiorespiratory Medicine and Haematology', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
170,Rayan Saab,2019,"['01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics']"
171,Rayan Saab,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '02 Physical Sciences', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics', '0299 Other Physical Sciences']"
172,Rayan Saab,2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
173,Rayan Saab,2022,"['01 Mathematical Sciences', '0101 Pure Mathematics']"
174,Robin Knight,2016,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '03 Chemical Sciences', '0102 Applied Mathematics', '0607 Plant Biology', '1115 Pharmacology and Pharmaceutical Sciences', '1104 Complementary and Alternative Medicine', '0699 Other Biological Sciences', '1701 Psychology', '1302 Curriculum and Pedagogy', '0305 Organic Chemistry', '01 Mathematical Sciences', '0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '1303 Specialist Studies In Education', '0806 Information Systems', '1111 Nutrition and Dietetics', '1114 Paediatrics and Reproductive Medicine', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0602 Ecology', '1109 Neurosciences', '13 Education', '05 Environmental Sciences', '1117 Public Health and Health Services', '1107 Immunology', '0605 Microbiology', '08 Information and Computing Sciences']"
175,Robin Knight,2017,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '0603 Evolutionary Biology', '0304 Medicinal and Biomolecular Chemistry', '03 Chemical Sciences', '0607 Plant Biology', '1115 Pharmacology and Pharmaceutical Sciences', '0306 Physical Chemistry (incl. Structural)', '1108 Medical Microbiology', '1801 Law', '1701 Psychology', '0403 Geology', '1112 Oncology and Carcinogenesis', '1702 Cognitive Sciences', '0406 Physical Geography and Environmental Geoscience', '04 Earth Sciences', '0305 Organic Chemistry', '01 Mathematical Sciences', '0904 Chemical Engineering', '0104 Statistics', '06 Biological Sciences', '0604 Genetics', '0914 Resources Engineering and Extractive Metallurgy', '10 Technology', '0601 Biochemistry and Cell Biology', '0502 Environmental Science and Management', '1114 Paediatrics and Reproductive Medicine', '1102 Cardiorespiratory Medicine and Haematology', '0301 Analytical Chemistry', '1303 Specialist Studies In Education', '18 Law and Legal Studies', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0602 Ecology', '1109 Neurosciences', '13 Education', '05 Environmental Sciences', '09 Engineering', '1117 Public Health and Health Services', '1107 Immunology', '0503 Soil Sciences', '0605 Microbiology', '08 Information and Computing Sciences']"
176,Robin Knight,2018,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '0603 Evolutionary Biology', '03 Chemical Sciences', '0607 Plant Biology', '1115 Pharmacology and Pharmaceutical Sciences', '1108 Medical Microbiology', '0699 Other Biological Sciences', '1701 Psychology', '0399 Other Chemical Sciences', '1112 Oncology and Carcinogenesis', '04 Earth Sciences', '01 Mathematical Sciences', '0604 Genetics', '06 Biological Sciences', '07 Agricultural and Veterinary Sciences', '0104 Statistics', '0502 Environmental Science and Management', '10 Technology', '0601 Biochemistry and Cell Biology', '1114 Paediatrics and Reproductive Medicine', '1102 Cardiorespiratory Medicine and Haematology', '1111 Nutrition and Dietetics', '15 Commerce, Management, Tourism and Services', '1101 Medical Biochemistry and Metabolomics', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0602 Ecology', '1109 Neurosciences', '05 Environmental Sciences', '1117 Public Health and Health Services', '1107 Immunology', '0503 Soil Sciences', '0605 Microbiology', '08 Information and Computing Sciences', '0703 Crop and Pasture Production', '0405 Oceanography']"
177,Robin Knight,2019,"['17 Psychology and Cognitive Sciences', '16 Studies in Human Society', '03 Chemical Sciences', '0704 Fisheries Sciences', '1108 Medical Microbiology', '1701 Psychology', '1112 Oncology and Carcinogenesis', '04 Earth Sciences', '01 Mathematical Sciences', '0604 Genetics', '06 Biological Sciences', '07 Agricultural and Veterinary Sciences', '0104 Statistics', '10 Technology', '0502 Environmental Science and Management', '0601 Biochemistry and Cell Biology', '1114 Paediatrics and Reproductive Medicine', '0806 Information Systems', '1608 Sociology', '1102 Cardiorespiratory Medicine and Haematology', '1111 Nutrition and Dietetics', '0301 Analytical Chemistry', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0602 Ecology', '1109 Neurosciences', '1105 Dentistry', '05 Environmental Sciences', '1117 Public Health and Health Services', '1107 Immunology', '0605 Microbiology', '08 Information and Computing Sciences', '0405 Oceanography']"
178,Robin Knight,2020,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '0603 Evolutionary Biology', '03 Chemical Sciences', '0704 Fisheries Sciences', '1115 Pharmacology and Pharmaceutical Sciences', '1108 Medical Microbiology', '1701 Psychology', '0403 Geology', '1112 Oncology and Carcinogenesis', '04 Earth Sciences', '0305 Organic Chemistry', '01 Mathematical Sciences', '0908 Food Sciences', '0104 Statistics', '06 Biological Sciences', '0604 Genetics', '07 Agricultural and Veterinary Sciences', '10 Technology', '0601 Biochemistry and Cell Biology', '1114 Paediatrics and Reproductive Medicine', '1102 Cardiorespiratory Medicine and Haematology', '1111 Nutrition and Dietetics', '0301 Analytical Chemistry', '0806 Information Systems', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0602 Ecology', '1109 Neurosciences', '0606 Physiology', '05 Environmental Sciences', '09 Engineering', '0803 Computer Software', '1105 Dentistry', '1117 Public Health and Health Services', '1107 Immunology', '0608 Zoology', '0605 Microbiology', '08 Information and Computing Sciences']"
179,Robin Knight,2021,"['17 Psychology and Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '0102 Applied Mathematics', '0306 Physical Chemistry (incl. Structural)', '1108 Medical Microbiology', '1701 Psychology', '1112 Oncology and Carcinogenesis', '0305 Organic Chemistry', '01 Mathematical Sciences', '1004 Medical Biotechnology', '0604 Genetics', '06 Biological Sciences', '0104 Statistics', '10 Technology', '0601 Biochemistry and Cell Biology', '1114 Paediatrics and Reproductive Medicine', '1102 Cardiorespiratory Medicine and Haematology', '1111 Nutrition and Dietetics', '0806 Information Systems', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0602 Ecology', '1109 Neurosciences', '09 Engineering', '1117 Public Health and Health Services', '1107 Immunology', '0605 Microbiology', '08 Information and Computing Sciences']"
180,Ronghui (Lily) Xu,2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '02 Physical Sciences', '0104 Statistics', '1112 Oncology and Carcinogenesis', '1114 Paediatrics and Reproductive Medicine', '0299 Other Physical Sciences', '1102 Cardiorespiratory Medicine and Haematology', '1117 Public Health and Health Services', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
181,Ronghui (Lily) Xu,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '06 Biological Sciences', '07 Agricultural and Veterinary Sciences', '1117 Public Health and Health Services', '1107 Immunology', '1114 Paediatrics and Reproductive Medicine', '1112 Oncology and Carcinogenesis', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
182,Ronghui (Lily) Xu,2018,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1109 Neurosciences', '0104 Statistics', '1117 Public Health and Health Services', '1112 Oncology and Carcinogenesis', '1114 Paediatrics and Reproductive Medicine', '1102 Cardiorespiratory Medicine and Haematology', '1115 Pharmacology and Pharmaceutical Sciences', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
183,Ronghui (Lily) Xu,2019,"['01 Mathematical Sciences', '1109 Neurosciences', '02 Physical Sciences', '0104 Statistics', '1117 Public Health and Health Services', '1112 Oncology and Carcinogenesis', '1114 Paediatrics and Reproductive Medicine', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences']"
184,Ronghui (Lily) Xu,2020,"['01 Mathematical Sciences', '02 Physical Sciences', '0104 Statistics', '1112 Oncology and Carcinogenesis', '1117 Public Health and Health Services', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences']"
185,Ronghui (Lily) Xu,2021,"['01 Mathematical Sciences', '1109 Neurosciences', '0104 Statistics', '1117 Public Health and Health Services', '1114 Paediatrics and Reproductive Medicine', '1112 Oncology and Carcinogenesis', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
186,Rose Yu,2017,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
187,Rose Yu,2018,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
188,Rose Yu,2019,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '01 Mathematical Sciences', '0104 Statistics']"
189,Rose Yu,2020,"['0915 Interdisciplinary Engineering', '09 Engineering']"
190,Rose Yu,2021,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '1117 Public Health and Health Services', '11 Medical and Health Sciences']"
191,Ruth Williams,2016,"['01 Mathematical Sciences', '0899 Other Information and Computing Sciences', '0102 Applied Mathematics', '0104 Statistics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '08 Information and Computing Sciences']"
192,Ruth Williams,2019,"['01 Mathematical Sciences', '0101 Pure Mathematics', '0104 Statistics', '0102 Applied Mathematics']"
193,Ruth Williams,2021,"['01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '0102 Applied Mathematics']"
194,Shankar Subramaniam,2016,"['1109 Neurosciences', '03 Chemical Sciences', '1007 Nanotechnology', '02 Physical Sciences', '09 Engineering', '06 Biological Sciences', '0607 Plant Biology', '10 Technology', '0601 Biochemistry and Cell Biology', '0305 Organic Chemistry', '1112 Oncology and Carcinogenesis', '1107 Immunology', '1114 Paediatrics and Reproductive Medicine', '0306 Physical Chemistry (incl. Structural)', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
195,Shankar Subramaniam,2017,"['0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '0904 Chemical Engineering', '0906 Electrical and Electronic Engineering', '0604 Genetics', '06 Biological Sciences', '09 Engineering', '0903 Biomedical Engineering', '0601 Biochemistry and Cell Biology', '08 Information and Computing Sciences', '1117 Public Health and Health Services', '1107 Immunology', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
196,Shankar Subramaniam,2018,"['0904 Chemical Engineering', '03 Chemical Sciences', '02 Physical Sciences', '0604 Genetics', '09 Engineering', '06 Biological Sciences']"
197,Shankar Subramaniam,2019,"['1109 Neurosciences', '0904 Chemical Engineering', '1199 Other Medical and Health Sciences', '09 Engineering', '06 Biological Sciences', '0604 Genetics', '0601 Biochemistry and Cell Biology', '08 Information and Computing Sciences', '1112 Oncology and Carcinogenesis', '0605 Microbiology', '0802 Computation Theory and Mathematics', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
198,Shankar Subramaniam,2020,"['0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '1199 Other Medical and Health Sciences', '1112 Oncology and Carcinogenesis', '0912 Materials Engineering', '1403 Econometrics', '0904 Chemical Engineering', '1004 Medical Biotechnology', '02 Physical Sciences', '0604 Genetics', '06 Biological Sciences', '07 Agricultural and Veterinary Sciences', '10 Technology', '0601 Biochemistry and Cell Biology', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '1109 Neurosciences', '09 Engineering', '1117 Public Health and Health Services', '1107 Immunology', '14 Economics', '08 Information and Computing Sciences', '0703 Crop and Pasture Production']"
199,Shankar Subramaniam,2021,"['0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '0904 Chemical Engineering', '0604 Genetics', '06 Biological Sciences', '09 Engineering', '10 Technology', '0601 Biochemistry and Cell Biology', '0399 Other Chemical Sciences', '1114 Paediatrics and Reproductive Medicine', '1107 Immunology', '0301 Analytical Chemistry', '0806 Information Systems', '1102 Cardiorespiratory Medicine and Haematology', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
200,Shannon Ellis,2016,"['0604 Genetics', '1109 Neurosciences', '11 Medical and Health Sciences', '06 Biological Sciences']"
201,Shannon Ellis,2017,"['17 Psychology and Cognitive Sciences', '1109 Neurosciences', '0604 Genetics', '06 Biological Sciences', '0806 Information Systems', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
202,Shannon Ellis,2018,"['0604 Genetics', '06 Biological Sciences', '01 Mathematical Sciences', '0104 Statistics']"
203,Shannon Ellis,2019,"['0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '1101 Medical Biochemistry and Metabolomics', '11 Medical and Health Sciences']"
204,Tara Javidi,2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0805 Distributed Computing', '17 Psychology and Cognitive Sciences', '0906 Electrical and Electronic Engineering', '1701 Psychology', '0102 Applied Mathematics', '02 Physical Sciences', '0104 Statistics', '09 Engineering', '0903 Biomedical Engineering', '10 Technology', '0915 Interdisciplinary Engineering', '08 Information and Computing Sciences', '0299 Other Physical Sciences', '1005 Communications Technologies']"
205,Tara Javidi,2017,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1402 Applied Economics', '0906 Electrical and Electronic Engineering', '1701 Psychology', '09 Engineering', '0804 Data Format', '0104 Statistics', '0803 Computer Software', '10 Technology', '14 Economics', '08 Information and Computing Sciences', '1005 Communications Technologies']"
206,Tara Javidi,2018,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '09 Engineering', '0803 Computer Software', '0804 Data Format', '0607 Plant Biology', '06 Biological Sciences', '0104 Statistics', '10 Technology', '08 Information and Computing Sciences', '1005 Communications Technologies']"
207,Tara Javidi,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0804 Data Format', '09 Engineering', '0803 Computer Software', '10 Technology', '1117 Public Health and Health Services', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1005 Communications Technologies']"
208,Tara Javidi,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '0804 Data Format', '0803 Computer Software', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
209,Tara Javidi,2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '0104 Statistics', '09 Engineering', '1006 Computer Hardware', '10 Technology', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
210,Terry Sejnowski,2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '1701 Psychology', '0102 Applied Mathematics', '0104 Statistics', '06 Biological Sciences', '09 Engineering', '0601 Biochemistry and Cell Biology', '1702 Cognitive Sciences', '0915 Interdisciplinary Engineering', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
211,Terry Sejnowski,2017,"['17 Psychology and Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '0904 Chemical Engineering', '1701 Psychology', '0906 Electrical and Electronic Engineering', '0911 Maritime Engineering', '02 Physical Sciences', '09 Engineering', '06 Biological Sciences', '03 Chemical Sciences', '0601 Biochemistry and Cell Biology', '0913 Mechanical Engineering', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
212,Terry Sejnowski,2018,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '1109 Neurosciences', '01 Mathematical Sciences', '03 Chemical Sciences', '0303 Macromolecular and Materials Chemistry', '02 Physical Sciences', '0102 Applied Mathematics', '0104 Statistics', '06 Biological Sciences', '09 Engineering', '0601 Biochemistry and Cell Biology', '0608 Zoology', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '11 Medical and Health Sciences']"
213,Terry Sejnowski,2019,"['17 Psychology and Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '0102 Applied Mathematics', '1115 Pharmacology and Pharmaceutical Sciences', '0101 Pure Mathematics', '1116 Medical Physiology', '1701 Psychology', '0399 Other Chemical Sciences', '1702 Cognitive Sciences', '0299 Other Physical Sciences', '01 Mathematical Sciences', '02 Physical Sciences', '0104 Statistics', '06 Biological Sciences', '0604 Genetics', '0601 Biochemistry and Cell Biology', '1303 Specialist Studies In Education', '1103 Clinical Sciences', '11 Medical and Health Sciences', '1109 Neurosciences', '0606 Physiology', '13 Education', '09 Engineering', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics']"
214,Terry Sejnowski,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '1701 Psychology', '0102 Applied Mathematics', '09 Engineering', '06 Biological Sciences', '10 Technology', '0601 Biochemistry and Cell Biology', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
215,Terry Sejnowski,2021,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '1109 Neurosciences', '01 Mathematical Sciences', '1701 Psychology', '0102 Applied Mathematics', '0101 Pure Mathematics', '0104 Statistics', '06 Biological Sciences', '02 Physical Sciences', '0601 Biochemistry and Cell Biology', '1702 Cognitive Sciences', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences']"
216,Tsu-Wei (Lily) Weng,2016,"['01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '1007 Nanotechnology', '02 Physical Sciences', '0205 Optical Physics', '09 Engineering', '0104 Statistics', '10 Technology', '0103 Numerical and Computational Mathematics', '0910 Manufacturing Engineering']"
217,Tsu-Wei (Lily) Weng,2018,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0802 Computation Theory and Mathematics']"
218,Tsu-Wei (Lily) Weng,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics']"
219,Tsu-Wei (Lily) Weng,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '08 Information and Computing Sciences']"
220,Tsu-Wei (Lily) Weng,2021,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
221,Vineet Bafna,2016,"['0602 Ecology', '0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '0605 Microbiology', '11 Medical and Health Sciences']"
